segment,country,product,discount_band,units_sold,sale_price,gross_sales,discounts,net_sales,cogs,profit,month_name,month_number,year,sale_date,exchange_rate,target_currency,net_sales_converted,profit_converted
Government,Germany,Montana,,2146.0,7.0,15022.0,0.0,15022.0,10730.0,4292.0,September,9,2014,2014-09-01,1.400848,AUD,21043.54,6012.44
Enterprise,Canada,Montana,,345.0,125.0,43125.0,0.0,43125.0,41400.0,1725.0,October,10,2013,2013-10-01,1.400848,AUD,60411.57,2416.46
Midmarket,United States of America,Montana,,615.0,15.0,9225.0,0.0,9225.0,6150.0,3075.0,December,12,2014,2014-12-01,1.400848,AUD,12922.82,4307.61
Government,Canada,Paseo,,292.0,20.0,5840.0,0.0,5840.0,2920.0,2920.0,February,2,2014,2014-02-01,1.400848,AUD,8180.95,4090.48
Midmarket,Mexico,Paseo,,974.0,15.0,14610.0,0.0,14610.0,9740.0,4870.0,February,2,2014,2014-02-01,1.400848,AUD,20466.39,6822.13
Channel Partners,Canada,Paseo,,2518.0,12.0,30216.0,0.0,30216.0,7554.0,22662.0,June,6,2014,2014-06-01,1.400848,AUD,42328.02,31746.02
Government,Germany,Paseo,,1006.0,350.0,352100.0,0.0,352100.0,261560.0,90540.0,June,6,2014,2014-06-01,1.400848,AUD,493238.58,126832.78
Channel Partners,Germany,Paseo,,367.0,12.0,4404.0,0.0,4404.0,1101.0,3303.0,July,7,2014,2014-07-01,1.400848,AUD,6169.33,4627.0
Government,Mexico,Paseo,,883.0,7.0,6181.0,0.0,6181.0,4415.0,1766.0,August,8,2014,2014-08-01,1.400848,AUD,8658.64,2473.9
Midmarket,France,Paseo,,549.0,15.0,8235.0,0.0,8235.0,5490.0,2745.0,September,9,2013,2013-09-01,1.400848,AUD,11535.98,3845.33
Small Business,Mexico,Paseo,,788.0,300.0,236400.0,0.0,236400.0,197000.0,39400.0,September,9,2013,2013-09-01,1.400848,AUD,331160.47,55193.41
Midmarket,Mexico,Paseo,,2472.0,15.0,37080.0,0.0,37080.0,24720.0,12360.0,September,9,2014,2014-09-01,1.400848,AUD,51943.44,17314.48
Government,United States of America,Paseo,,1143.0,7.0,8001.0,0.0,8001.0,5715.0,2286.0,October,10,2014,2014-10-01,1.400848,AUD,11208.18,3202.34
Government,Canada,Paseo,,1725.0,350.0,603750.0,0.0,603750.0,448500.0,155250.0,November,11,2013,2013-11-01,1.400848,AUD,845761.98,217481.65
Channel Partners,United States of America,Paseo,,912.0,12.0,10944.0,0.0,10944.0,2736.0,8208.0,November,11,2013,2013-11-01,1.400848,AUD,15330.88,11498.16
Midmarket,Canada,Paseo,,2152.0,15.0,32280.0,0.0,32280.0,21520.0,10760.0,December,12,2013,2013-12-01,1.400848,AUD,45219.37,15073.12
Government,Canada,Paseo,,1817.0,20.0,36340.0,0.0,36340.0,18170.0,18170.0,December,12,2014,2014-12-01,1.400848,AUD,50906.82,25453.41
Government,Germany,Paseo,,1513.0,350.0,529550.0,0.0,529550.0,393380.0,136170.0,December,12,2014,2014-12-01,1.400848,AUD,741819.06,190753.47
Government,Mexico,Velo,,1493.0,7.0,10451.0,0.0,10451.0,7465.0,2986.0,January,1,2014,2014-01-01,1.400848,AUD,14640.26,4182.93
Enterprise,France,Velo,,1804.0,125.0,225500.0,0.0,225500.0,216480.0,9020.0,February,2,2014,2014-02-01,1.400848,AUD,315891.22,12635.65
Channel Partners,Germany,Velo,,2161.0,12.0,25932.0,0.0,25932.0,6483.0,19449.0,March,3,2014,2014-03-01,1.400848,AUD,36326.79,27245.09
Government,Germany,Velo,,1006.0,350.0,352100.0,0.0,352100.0,261560.0,90540.0,June,6,2014,2014-06-01,1.400848,AUD,493238.58,126832.78
Channel Partners,Germany,Velo,,1545.0,12.0,18540.0,0.0,18540.0,4635.0,13905.0,June,6,2014,2014-06-01,1.400848,AUD,25971.72,19478.79
Enterprise,United States of America,Velo,,2821.0,125.0,352625.0,0.0,352625.0,338520.0,14105.0,August,8,2014,2014-08-01,1.400848,AUD,493974.03,19758.96
Enterprise,Canada,Velo,,345.0,125.0,43125.0,0.0,43125.0,41400.0,1725.0,October,10,2013,2013-10-01,1.400848,AUD,60411.57,2416.46
Small Business,Canada,VTT,,2001.0,300.0,600300.0,0.0,600300.0,500250.0,100050.0,February,2,2014,2014-02-01,1.400848,AUD,840929.05,140154.84
Channel Partners,Germany,VTT,,2838.0,12.0,34056.0,0.0,34056.0,8514.0,25542.0,April,4,2014,2014-04-01,1.400848,AUD,47707.28,35780.46
Midmarket,France,VTT,,2178.0,15.0,32670.0,0.0,32670.0,21780.0,10890.0,June,6,2014,2014-06-01,1.400848,AUD,45765.7,15255.23
Midmarket,Germany,VTT,,888.0,15.0,13320.0,0.0,13320.0,8880.0,4440.0,June,6,2014,2014-06-01,1.400848,AUD,18659.3,6219.77
Government,France,VTT,,1527.0,350.0,534450.0,0.0,534450.0,397020.0,137430.0,September,9,2013,2013-09-01,1.400848,AUD,748683.21,192518.54
Small Business,France,VTT,,2151.0,300.0,645300.0,0.0,645300.0,537750.0,107550.0,September,9,2014,2014-09-01,1.400848,AUD,903967.21,150661.2
Government,Canada,VTT,,1817.0,20.0,36340.0,0.0,36340.0,18170.0,18170.0,December,12,2014,2014-12-01,1.400848,AUD,50906.82,25453.41
Government,France,Amarilla,,2750.0,350.0,962500.0,0.0,962500.0,715000.0,247500.0,February,2,2014,2014-02-01,1.400848,AUD,1348316.2,346709.88
Channel Partners,United States of America,Amarilla,,1953.0,12.0,23436.0,0.0,23436.0,5859.0,17577.0,April,4,2014,2014-04-01,1.400848,AUD,32830.27,24622.71
Enterprise,Germany,Amarilla,,4219.5,125.0,527437.5,0.0,527437.5,506340.0,21097.5,April,4,2014,2014-04-01,1.400848,AUD,738859.77,29554.39
Government,France,Amarilla,,1899.0,20.0,37980.0,0.0,37980.0,18990.0,18990.0,June,6,2014,2014-06-01,1.400848,AUD,53204.21,26602.1
Government,Germany,Amarilla,,1686.0,7.0,11802.0,0.0,11802.0,8430.0,3372.0,July,7,2014,2014-07-01,1.400848,AUD,16532.81,4723.66
Channel Partners,United States of America,Amarilla,,2141.0,12.0,25692.0,0.0,25692.0,6423.0,19269.0,August,8,2014,2014-08-01,1.400848,AUD,35990.59,26992.94
Government,United States of America,Amarilla,,1143.0,7.0,8001.0,0.0,8001.0,5715.0,2286.0,October,10,2014,2014-10-01,1.400848,AUD,11208.18,3202.34
Midmarket,United States of America,Amarilla,,615.0,15.0,9225.0,0.0,9225.0,6150.0,3075.0,December,12,2014,2014-12-01,1.400848,AUD,12922.82,4307.61
Government,France,Paseo,Low,3945.0,7.0,27615.0,276.15,27338.850000000002,19725.0,7613.850000000002,January,1,2014,2014-01-01,1.400848,AUD,38297.57,10665.85
Midmarket,France,Paseo,Low,2296.0,15.0,34440.0,344.4,34095.6,22960.0,11135.599999999999,February,2,2014,2014-02-01,1.400848,AUD,47762.75,15599.28
Government,France,Paseo,Low,1030.0,7.0,7210.0,72.1,7137.9,5150.0,1987.8999999999996,May,5,2014,2014-05-01,1.400848,AUD,9999.11,2784.75
Government,France,Velo,Low,639.0,7.0,4473.0,44.73,4428.27,3195.0,1233.2700000000004,November,11,2014,2014-11-01,1.400848,AUD,6203.33,1727.62
Government,Canada,VTT,Low,1326.0,7.0,9282.0,92.82,9189.18,6630.0,2559.1800000000003,March,3,2014,2014-03-01,1.400848,AUD,12872.64,3585.02
Channel Partners,United States of America,Carretera,Low,1858.0,12.0,22296.0,222.96,22073.04,5574.0,16499.04,February,2,2014,2014-02-01,1.400848,AUD,30920.97,23112.65
Government,Mexico,Carretera,Low,1210.0,350.0,423500.0,4235.0,419265.0,314600.0,104665.0,March,3,2014,2014-03-01,1.400848,AUD,587326.54,146619.76
Government,United States of America,Carretera,Low,2529.0,7.0,17703.0,177.03,17525.97,12645.0,4880.969999999999,July,7,2014,2014-07-01,1.400848,AUD,24551.22,6837.5
Channel Partners,Canada,Carretera,Low,1445.0,12.0,17340.0,173.4,17166.6,4335.0,12831.599999999999,September,9,2014,2014-09-01,1.400848,AUD,24047.8,17975.12
Enterprise,United States of America,Carretera,Low,330.0,125.0,41250.0,412.5,40837.5,39600.0,1237.5,September,9,2013,2013-09-01,1.400848,AUD,57207.13,1733.55
Channel Partners,France,Carretera,Low,2671.0,12.0,32052.0,320.52,31731.48,8013.0,23718.48,September,9,2014,2014-09-01,1.400848,AUD,44450.98,33225.99
Channel Partners,Germany,Carretera,Low,766.0,12.0,9192.0,91.92,9100.08,2298.0,6802.08,October,10,2013,2013-10-01,1.400848,AUD,12747.83,9528.68
Small Business,Mexico,Carretera,Low,494.0,300.0,148200.0,1482.0,146718.0,123500.0,23218.0,October,10,2013,2013-10-01,1.400848,AUD,205529.62,32524.89
Government,Mexico,Carretera,Low,1397.0,350.0,488950.0,4889.5,484060.5,363220.0,120840.5,October,10,2014,2014-10-01,1.400848,AUD,678095.18,169279.17
Government,France,Carretera,Low,2155.0,350.0,754250.0,7542.5,746707.5,560300.0,186407.5,December,12,2014,2014-12-01,1.400848,AUD,1046023.71,261128.57
Midmarket,Mexico,Montana,Low,2214.0,15.0,33210.0,332.1,32877.9,22140.0,10737.900000000001,March,3,2014,2014-03-01,1.400848,AUD,46056.94,15042.17
Small Business,United States of America,Montana,Low,2301.0,300.0,690300.0,6903.0,683397.0,575250.0,108147.0,April,4,2014,2014-04-01,1.400848,AUD,957335.32,151497.51
Government,France,Montana,Low,1375.5,20.0,27510.0,275.1,27234.899999999998,13755.0,13479.899999999998,July,7,2014,2014-07-01,1.400848,AUD,38151.96,18883.29
Government,Canada,Montana,Low,1830.0,7.0,12810.0,128.1,12681.9,9150.0,3531.8999999999996,August,8,2014,2014-08-01,1.400848,AUD,17765.41,4947.66
Small Business,United States of America,Montana,Low,2498.0,300.0,749400.0,7494.0,741906.0,624500.0,117406.0,September,9,2013,2013-09-01,1.400848,AUD,1039297.54,164467.96
Enterprise,United States of America,Montana,Low,663.0,125.0,82875.0,828.75,82046.25,79560.0,2486.25,October,10,2013,2013-10-01,1.400848,AUD,114934.33,3482.86
Midmarket,United States of America,Paseo,Low,1514.0,15.0,22710.0,227.1,22482.9,15140.0,7342.9000000000015,February,2,2014,2014-02-01,1.400848,AUD,31495.13,10286.29
Government,United States of America,Paseo,Low,4492.5,7.0,31447.5,314.475,31133.024999999998,22462.5,8670.524999999998,April,4,2014,2014-04-01,1.400848,AUD,43612.64,12146.09
Enterprise,United States of America,Paseo,Low,727.0,125.0,90875.0,908.75,89966.25,87240.0,2726.25,June,6,2014,2014-06-01,1.400848,AUD,126029.04,3819.06
Enterprise,France,Paseo,Low,787.0,125.0,98375.0,983.75,97391.25,94440.0,2951.25,June,6,2014,2014-06-01,1.400848,AUD,136430.34,4134.25
Enterprise,Mexico,Paseo,Low,1823.0,125.0,227875.0,2278.75,225596.25,218760.0,6836.25,July,7,2014,2014-07-01,1.400848,AUD,316026.06,9576.55
Midmarket,Germany,Paseo,Low,747.0,15.0,11205.0,112.05,11092.95,7470.0,3622.9500000000007,September,9,2014,2014-09-01,1.400848,AUD,15539.54,5075.2
Channel Partners,Germany,Paseo,Low,766.0,12.0,9192.0,91.92,9100.08,2298.0,6802.08,October,10,2013,2013-10-01,1.400848,AUD,12747.83,9528.68
Small Business,United States of America,Paseo,Low,2905.0,300.0,871500.0,8715.0,862785.0,726250.0,136535.0,November,11,2014,2014-11-01,1.400848,AUD,1208630.64,191264.78
Government,France,Paseo,Low,2155.0,350.0,754250.0,7542.5,746707.5,560300.0,186407.5,December,12,2014,2014-12-01,1.400848,AUD,1046023.71,261128.57
Government,France,Velo,Low,3864.0,20.0,77280.0,772.8000000000001,76507.20000000001,38640.0,37867.200000000004,April,4,2014,2014-04-01,1.400848,AUD,107174.96,53046.19
Government,Mexico,Velo,Low,362.0,7.0,2534.0,25.34,2508.66,1810.0,698.6599999999999,May,5,2014,2014-05-01,1.400848,AUD,3514.25,978.72
Enterprise,Canada,Velo,Low,923.0,125.0,115375.0,1153.75,114221.25,110760.0,3461.25,August,8,2014,2014-08-01,1.400848,AUD,160006.61,4848.69
Enterprise,United States of America,Velo,Low,663.0,125.0,82875.0,828.75,82046.25,79560.0,2486.25,October,10,2013,2013-10-01,1.400848,AUD,114934.33,3482.86
Government,Canada,Velo,Low,2092.0,7.0,14644.0,146.44,14497.56,10460.0,4037.5599999999995,November,11,2013,2013-11-01,1.400848,AUD,20308.88,5656.01
Government,Germany,VTT,Low,263.0,7.0,1841.0,18.41,1822.59,1315.0,507.5899999999999,March,3,2014,2014-03-01,1.400848,AUD,2553.17,711.06
Government,Canada,VTT,Low,943.5,350.0,330225.0,3302.25,326922.75,245310.0,81612.75,April,4,2014,2014-04-01,1.400848,AUD,457969.08,114327.06
Enterprise,United States of America,VTT,Low,727.0,125.0,90875.0,908.75,89966.25,87240.0,2726.25,June,6,2014,2014-06-01,1.400848,AUD,126029.04,3819.06
Enterprise,France,VTT,Low,787.0,125.0,98375.0,983.75,97391.25,94440.0,2951.25,June,6,2014,2014-06-01,1.400848,AUD,136430.34,4134.25
Small Business,Germany,VTT,Low,986.0,300.0,295800.0,2958.0,292842.0,246500.0,46342.0,September,9,2014,2014-09-01,1.400848,AUD,410227.13,64918.1
Small Business,Mexico,VTT,Low,494.0,300.0,148200.0,1482.0,146718.0,123500.0,23218.0,October,10,2013,2013-10-01,1.400848,AUD,205529.62,32524.89
Government,Mexico,VTT,Low,1397.0,350.0,488950.0,4889.5,484060.5,363220.0,120840.5,October,10,2014,2014-10-01,1.400848,AUD,678095.18,169279.17
Enterprise,France,VTT,Low,1744.0,125.0,218000.0,2180.0,215820.0,209280.0,6540.0,November,11,2014,2014-11-01,1.400848,AUD,302331.02,9161.55
Channel Partners,United States of America,Amarilla,Low,1989.0,12.0,23868.0,238.68,23629.32,5967.0,17662.32,September,9,2013,2013-09-01,1.400848,AUD,33101.09,24742.23
Midmarket,France,Amarilla,Low,321.0,15.0,4815.0,48.15,4766.85,3210.0,1556.8500000000004,November,11,2013,2013-11-01,1.400848,AUD,6677.63,2180.91
Enterprise,Canada,Carretera,Low,742.5,125.0,92812.5,1856.25,90956.25,89100.0,1856.25,April,4,2014,2014-04-01,1.400848,AUD,127415.88,2600.32
Channel Partners,Canada,Carretera,Low,1295.0,12.0,15540.0,310.8,15229.2,3885.0,11344.2,October,10,2014,2014-10-01,1.400848,AUD,21333.79,15891.5
Small Business,Germany,Carretera,Low,214.0,300.0,64200.0,1284.0,62916.0,53500.0,9416.0,October,10,2013,2013-10-01,1.400848,AUD,88135.75,13190.38
Government,France,Carretera,Low,2145.0,7.0,15015.0,300.3,14714.7,10725.0,3989.7000000000007,November,11,2013,2013-11-01,1.400848,AUD,20613.06,5588.96
Government,Canada,Carretera,Low,2852.0,350.0,998200.0,19964.0,978236.0,741520.0,236716.0,December,12,2014,2014-12-01,1.400848,AUD,1370359.94,331603.14
Channel Partners,United States of America,Montana,Low,1142.0,12.0,13704.0,274.08,13429.92,3426.0,10003.92,June,6,2014,2014-06-01,1.400848,AUD,18813.28,14013.97
Government,United States of America,Montana,Low,1566.0,20.0,31320.0,626.4,30693.6,15660.0,15033.599999999999,October,10,2014,2014-10-01,1.400848,AUD,42997.07,21059.79
Channel Partners,Mexico,Montana,Low,690.0,12.0,8280.0,165.6,8114.4,2070.0,6044.4,November,11,2014,2014-11-01,1.400848,AUD,11367.04,8467.29
Enterprise,Mexico,Montana,Low,1660.0,125.0,207500.0,4150.0,203350.0,199200.0,4150.0,November,11,2013,2013-11-01,1.400848,AUD,284862.44,5813.52
Midmarket,Canada,Paseo,Low,2363.0,15.0,35445.0,708.9,34736.1,23630.0,11106.099999999999,February,2,2014,2014-02-01,1.400848,AUD,48660.0,15557.96
Small Business,France,Paseo,Low,918.0,300.0,275400.0,5508.0,269892.0,229500.0,40392.0,May,5,2014,2014-05-01,1.400848,AUD,378077.67,56583.05
Small Business,Germany,Paseo,Low,1728.0,300.0,518400.0,10368.0,508032.0,432000.0,76032.0,May,5,2014,2014-05-01,1.400848,AUD,711675.61,106509.28
Channel Partners,United States of America,Paseo,Low,1142.0,12.0,13704.0,274.08,13429.92,3426.0,10003.92,June,6,2014,2014-06-01,1.400848,AUD,18813.28,14013.97
Enterprise,Mexico,Paseo,Low,662.0,125.0,82750.0,1655.0,81095.0,79440.0,1655.0,June,6,2014,2014-06-01,1.400848,AUD,113601.77,2318.4
Channel Partners,Canada,Paseo,Low,1295.0,12.0,15540.0,310.8,15229.2,3885.0,11344.2,October,10,2014,2014-10-01,1.400848,AUD,21333.79,15891.5
Enterprise,Germany,Paseo,Low,809.0,125.0,101125.0,2022.5,99102.5,97080.0,2022.5,October,10,2013,2013-10-01,1.400848,AUD,138827.54,2833.22
Enterprise,Mexico,Paseo,Low,2145.0,125.0,268125.0,5362.5,262762.5,257400.0,5362.5,October,10,2013,2013-10-01,1.400848,AUD,368090.32,7512.05
Channel Partners,France,Paseo,Low,1785.0,12.0,21420.0,428.4,20991.6,5355.0,15636.599999999999,November,11,2013,2013-11-01,1.400848,AUD,29406.04,21904.5
Small Business,Canada,Paseo,Low,1916.0,300.0,574800.0,11496.0,563304.0,479000.0,84304.0,December,12,2014,2014-12-01,1.400848,AUD,789103.28,118097.09
Government,Canada,Paseo,Low,2852.0,350.0,998200.0,19964.0,978236.0,741520.0,236716.0,December,12,2014,2014-12-01,1.400848,AUD,1370359.94,331603.14
Enterprise,Canada,Paseo,Low,2729.0,125.0,341125.0,6822.5,334302.5,327480.0,6822.5,December,12,2014,2014-12-01,1.400848,AUD,468306.99,9557.29
Midmarket,United States of America,Paseo,Low,1925.0,15.0,28875.0,577.5,28297.5,19250.0,9047.5,December,12,2013,2013-12-01,1.400848,AUD,39640.5,12674.17
Government,United States of America,Paseo,Low,2013.0,7.0,14091.0,281.82,13809.18,10065.0,3744.1800000000003,December,12,2013,2013-12-01,1.400848,AUD,19344.56,5245.03
Channel Partners,France,Paseo,Low,1055.0,12.0,12660.0,253.2,12406.8,3165.0,9241.8,December,12,2014,2014-12-01,1.400848,AUD,17380.04,12946.36
Channel Partners,Mexico,Paseo,Low,1084.0,12.0,13008.0,260.16,12747.84,3252.0,9495.84,December,12,2014,2014-12-01,1.400848,AUD,17857.79,13302.23
Government,United States of America,Velo,Low,1566.0,20.0,31320.0,626.4,30693.6,15660.0,15033.599999999999,October,10,2014,2014-10-01,1.400848,AUD,42997.07,21059.79
Government,Germany,Velo,Low,2966.0,350.0,1038100.0,20762.0,1017338.0,771160.0,246178.0,October,10,2013,2013-10-01,1.400848,AUD,1425135.9,344857.96
Government,Germany,Velo,Low,2877.0,350.0,1006950.0,20139.0,986811.0,748020.0,238791.0,October,10,2014,2014-10-01,1.400848,AUD,1382372.22,334509.89
Enterprise,Germany,Velo,Low,809.0,125.0,101125.0,2022.5,99102.5,97080.0,2022.5,October,10,2013,2013-10-01,1.400848,AUD,138827.54,2833.22
Enterprise,Mexico,Velo,Low,2145.0,125.0,268125.0,5362.5,262762.5,257400.0,5362.5,October,10,2013,2013-10-01,1.400848,AUD,368090.32,7512.05
Channel Partners,France,Velo,Low,1055.0,12.0,12660.0,253.2,12406.8,3165.0,9241.8,December,12,2014,2014-12-01,1.400848,AUD,17380.04,12946.36
Government,Mexico,Velo,Low,544.0,20.0,10880.0,217.6,10662.4,5440.0,5222.4,December,12,2013,2013-12-01,1.400848,AUD,14936.4,7315.79
Channel Partners,Mexico,Velo,Low,1084.0,12.0,13008.0,260.16,12747.84,3252.0,9495.84,December,12,2014,2014-12-01,1.400848,AUD,17857.79,13302.23
Enterprise,Mexico,VTT,Low,662.0,125.0,82750.0,1655.0,81095.0,79440.0,1655.0,June,6,2014,2014-06-01,1.400848,AUD,113601.77,2318.4
Small Business,Germany,VTT,Low,214.0,300.0,64200.0,1284.0,62916.0,53500.0,9416.0,October,10,2013,2013-10-01,1.400848,AUD,88135.75,13190.38
Government,Germany,VTT,Low,2877.0,350.0,1006950.0,20139.0,986811.0,748020.0,238791.0,October,10,2014,2014-10-01,1.400848,AUD,1382372.22,334509.89
Enterprise,Canada,VTT,Low,2729.0,125.0,341125.0,6822.5,334302.5,327480.0,6822.5,December,12,2014,2014-12-01,1.400848,AUD,468306.99,9557.29
Government,United States of America,VTT,Low,266.0,350.0,93100.0,1862.0,91238.0,69160.0,22078.0,December,12,2013,2013-12-01,1.400848,AUD,127810.57,30927.92
Government,Mexico,VTT,Low,1940.0,350.0,679000.0,13580.0,665420.0,504400.0,161020.0,December,12,2013,2013-12-01,1.400848,AUD,932152.28,225564.54
Small Business,Germany,Amarilla,Low,259.0,300.0,77700.0,1554.0,76146.0,64750.0,11396.0,March,3,2014,2014-03-01,1.400848,AUD,106668.97,15964.06
Small Business,Mexico,Amarilla,Low,1101.0,300.0,330300.0,6606.0,323694.0,275250.0,48444.0,March,3,2014,2014-03-01,1.400848,AUD,453446.09,67862.68
Enterprise,Germany,Amarilla,Low,2276.0,125.0,284500.0,5690.0,278810.0,273120.0,5690.0,May,5,2014,2014-05-01,1.400848,AUD,390570.43,7970.83
Government,Germany,Amarilla,Low,2966.0,350.0,1038100.0,20762.0,1017338.0,771160.0,246178.0,October,10,2013,2013-10-01,1.400848,AUD,1425135.9,344857.96
Government,United States of America,Amarilla,Low,1236.0,20.0,24720.0,494.4,24225.6,12360.0,11865.599999999999,November,11,2014,2014-11-01,1.400848,AUD,33936.38,16621.9
Government,France,Amarilla,Low,941.0,20.0,18820.0,376.4,18443.6,9410.0,9033.599999999999,November,11,2014,2014-11-01,1.400848,AUD,25836.68,12654.7
Small Business,Canada,Amarilla,Low,1916.0,300.0,574800.0,11496.0,563304.0,479000.0,84304.0,December,12,2014,2014-12-01,1.400848,AUD,789103.28,118097.09
Enterprise,France,Carretera,Low,4243.5,125.0,530437.5,15913.125,514524.375,509220.0,5304.375,April,4,2014,2014-04-01,1.400848,AUD,720770.44,7430.62
Government,Germany,Carretera,Low,2580.0,20.0,51600.0,1548.0,50052.0,25800.0,24252.0,April,4,2014,2014-04-01,1.400848,AUD,70115.24,33973.37
Small Business,Germany,Carretera,Low,689.0,300.0,206700.0,6201.0,200499.0,172250.0,28249.0,June,6,2014,2014-06-01,1.400848,AUD,280868.62,39572.56
Channel Partners,United States of America,Carretera,Low,1947.0,12.0,23364.0,700.92,22663.08,5841.0,16822.08,September,9,2014,2014-09-01,1.400848,AUD,31747.53,23565.18
Channel Partners,Canada,Carretera,Low,908.0,12.0,10896.0,326.88,10569.12,2724.0,7845.120000000001,December,12,2013,2013-12-01,1.400848,AUD,14805.73,10989.82
Government,Germany,Montana,Low,1958.0,7.0,13706.0,411.18,13294.82,9790.0,3504.8199999999997,February,2,2014,2014-02-01,1.400848,AUD,18624.02,4909.72
Channel Partners,France,Montana,Low,1901.0,12.0,22812.0,684.36,22127.64,5703.0,16424.64,June,6,2014,2014-06-01,1.400848,AUD,30997.46,23008.42
Government,France,Montana,Low,544.0,7.0,3808.0,114.24,3693.76,2720.0,973.7600000000002,September,9,2014,2014-09-01,1.400848,AUD,5174.4,1364.09
Government,Germany,Montana,Low,1797.0,350.0,628950.0,18868.5,610081.5,467220.0,142861.5,September,9,2013,2013-09-01,1.400848,AUD,854631.45,200127.25
Enterprise,France,Montana,Low,1287.0,125.0,160875.0,4826.25,156048.75,154440.0,1608.75,December,12,2014,2014-12-01,1.400848,AUD,218600.58,2253.61
Enterprise,Germany,Montana,Low,1706.0,125.0,213250.0,6397.5,206852.5,204720.0,2132.5,December,12,2014,2014-12-01,1.400848,AUD,289768.91,2987.31
Small Business,France,Paseo,Low,2434.5,300.0,730350.0,21910.5,708439.5,608625.0,99814.5,January,1,2014,2014-01-01,1.400848,AUD,992416.06,139824.94
Enterprise,Canada,Paseo,Low,1774.0,125.0,221750.0,6652.5,215097.5,212880.0,2217.5,March,3,2014,2014-03-01,1.400848,AUD,301318.9,3106.38
Channel Partners,France,Paseo,Low,1901.0,12.0,22812.0,684.36,22127.64,5703.0,16424.64,June,6,2014,2014-06-01,1.400848,AUD,30997.46,23008.42
Small Business,Germany,Paseo,Low,689.0,300.0,206700.0,6201.0,200499.0,172250.0,28249.0,June,6,2014,2014-06-01,1.400848,AUD,280868.62,39572.56
Enterprise,Germany,Paseo,Low,1570.0,125.0,196250.0,5887.5,190362.5,188400.0,1962.5,June,6,2014,2014-06-01,1.400848,AUD,266668.93,2749.16
Channel Partners,United States of America,Paseo,Low,1369.5,12.0,16434.0,493.02,15940.98,4108.5,11832.48,July,7,2014,2014-07-01,1.400848,AUD,22330.89,16575.51
Enterprise,Canada,Paseo,Low,2009.0,125.0,251125.0,7533.75,243591.25,241080.0,2511.25,October,10,2014,2014-10-01,1.400848,AUD,341234.32,3517.88
Midmarket,Germany,Paseo,Low,1945.0,15.0,29175.0,875.25,28299.75,19450.0,8849.75,October,10,2013,2013-10-01,1.400848,AUD,39643.65,12397.15
Enterprise,France,Paseo,Low,1287.0,125.0,160875.0,4826.25,156048.75,154440.0,1608.75,December,12,2014,2014-12-01,1.400848,AUD,218600.58,2253.61
Enterprise,Germany,Paseo,Low,1706.0,125.0,213250.0,6397.5,206852.5,204720.0,2132.5,December,12,2014,2014-12-01,1.400848,AUD,289768.91,2987.31
Enterprise,Canada,Velo,Low,2009.0,125.0,251125.0,7533.75,243591.25,241080.0,2511.25,October,10,2014,2014-10-01,1.400848,AUD,341234.32,3517.88
